,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking,full_address,latitude,longitude
0,вул. Віри Надії Любові,120000,77,2,Львів,"Шевченківський
                    ·",4,1527,1,0,0,0,0,0,"вул. Віри Надії Любові, Львів, Україна",49.8776395,24.0364346
1,вул. Любінська,55000,44,2,Львів,"Залізничний
                    ·",1,1259,0,0,1,0,0,0,"вул. Любінська, Львів, Україна",49.8270645,23.9827543
2,"вул. Городоцька, 226А",83000,39,1,Львів,"Залізничний
                    ·",9,2128,0,0,1,0,0,0,"вул. Городоцька, 226А, Львів, Україна",49.82772345,23.947917357642893
3,вул. Яцкова Михайла,128000,105,3,Львів,"Шевченківський
                    ·",5,1224,0,0,0,0,0,0,"вул. Яцкова Михайла, Львів, Україна",49.8483165,24.0050395
4,просп. Червоної Калини,130000,163,4,Львів,"Сихівський
                    ·",3,796,0,0,1,0,0,0,"просп. Червоної Калини, Львів, Україна",49.8037752,24.0464543
5,вул. Грушевського Михайла,400000,160,5,Львів,"Галицький
                    ·",3,2500,0,0,1,1,0,0,"вул. Грушевського Михайла, Львів, Україна",49.8341207,24.0325997
6,"вул. Пасічна, 169Г",225000,108,4,Львів,"Сихівський
                    ·",10,2083,0,0,1,0,0,0,"вул. Пасічна, 169Г, Львів, Україна",49.804074400000005,24.075268915245672
7,"вул. Олени Степанівни, 10",87000,49,1,Львів,"Залізничний
                    ·",5,1776,0,0,1,0,0,0,"вул. Олени Степанівни, 10, Львів, Україна",49.8424869,24.0064312
8,вул. Пилипа Орлика,57000,42,1,Львів,"Шевченківський
                    ·",4,1360,1,0,0,0,0,0,"вул. Пилипа Орлика, Львів, Україна",49.8744329,24.0334723
9,"вул. Янева, 19",121500,81,3,Львів,"Франківський
                    ·",7,1500,0,0,0,0,0,0,"вул. Янева, 19, Львів, Україна",49.810324050000006,24.01107828175071
10,"вул. Замарстинівська, 76",132214,87,3,Львів,"Шевченківський
                    ·",4,1520,0,0,0,0,0,0,"вул. Замарстинівська, 76, Львів, Україна",49.85669465,24.028408068125074
11,"вул. Пасічна, 84",90505,39,1,Львів,"Личаківський
                    ·",8,2300,0,0,0,0,0,0,"вул. Пасічна, 84, Львів, Україна",49.8232615,24.074698509104767
12,"вул. Янева, 29",140000,71,2,Львів,"Франківський
                    ·",9,1972,0,0,1,0,0,0,"вул. Янева, 29, Львів, Україна",49.81068355,24.0091980318376
13,"вул. Топольна, 4",61430,44,1,Львів,"Шевченківський
                    ·",16,1384,0,0,0,0,0,0,"вул. Топольна, 4, Львів, Україна",49.8714956,24.02267321736315
14,"вул. Соняшникова, 32",56074,53,1,Львів,"Сихівський
                    ·",8,1060,0,0,0,0,0,0,"вул. Соняшникова, 32, Львів, Україна",49.7952907,24.0712203
15,"вул. Роксоляни, 1",45096,47,1,Львів,"Залізничний
                    ·",7,963,0,0,0,0,0,0,"вул. Роксоляни, 1, Львів, Україна",49.8469144,23.969820370493196
17,"вул. Пасічна, 166",118077,79,2,Львів,"Сихівський
                    ·",5,1488,0,0,0,0,0,0,"вул. Пасічна, 166, Львів, Україна",49.8077733,24.07085708361828
18,вул. Китайська,76695,42,1,Львів,"Личаківський
                    ·",7,1820,0,0,0,0,0,0,"вул. Китайська, Львів, Україна",49.8225945,24.0817711
19,"вул. Зелена, 111",57424,34,1,Львів,"Личаківський
                    ·",4,1684,0,0,0,0,0,0,"вул. Зелена, 111, Львів, Україна",49.8230922,24.054082450000003
20,вул. Замарстинівська,70500,45,1,Львів,"Шевченківський
                    ·",10,1567,0,0,0,0,0,0,"вул. Замарстинівська, Львів, Україна",49.86377400000001,24.0284656478714
21,"вул. Пасічна, 150",72171,53,2,Львів,Львів,7,1350,0,0,0,0,0,0,"вул. Пасічна, 150, Львів, Україна",49.8206159,24.075828
23,вул. Орлика,106031,82,3,Львів,"Шевченківський
                    ·",5,1301,0,0,0,0,0,0,"вул. Орлика, Львів, Україна",49.8762852,24.0388477
24,"вул. Залізнична, 7",77010,60,1,Львів,"Залізничний
                    ·",8,1284,0,0,0,0,0,0,"вул. Залізнична, 7, Львів, Україна",49.8448316,23.9966387
26,"вул. Рудненська, 8",106182,92,3,Львів,"Залізничний
                    ·",12,1160,0,0,0,0,0,0,"вул. Рудненська, 8, Львів, Україна",49.83586735,23.97324722406477
28,"вул. Замарстинівська, 170",69750,46,1,Львів,"Шевченківський
                    ·",12,1514,0,0,0,0,0,0,"вул. Замарстинівська, 170, Львів, Україна",49.868975,24.0270617
30,вул. Лінкольна Авраама,97000,68,3,Львів,"Шевченківський
                    ·",9,1426,0,0,1,1,0,0,"вул. Лінкольна Авраама, Львів, Україна",49.8665188,24.0395516
31,"вул. Навроцького, 31",100000,99,3,Львів,"Сихівський
                    ·",2,1010,0,0,0,0,0,0,"вул. Навроцького, 31, Львів, Україна",49.8106058,24.0564357
32,"вул. Низинна, 52",37000,29,1,Львів,"Залізничний
                    ·",3,1276,0,0,1,0,0,0,"вул. Низинна, 52, Львів, Україна",49.8401815,23.970517867039607
33,"вул. Гніздовського, 75",85000,81,2,Львів,"Залізничний
                    ·",6,1049,0,0,1,0,0,0,"вул. Гніздовського, 75, Львів, Україна",49.83786404999999,23.97046018793217
34,"вул. Щирецька, 30",82000,69,2,Львів,"Південний
                    ·",4,1197,0,0,0,0,0,0,"вул. Щирецька, 30, Львів, Україна",49.8100338,23.9741935
35,"вул. Під Голоском, 16",57200,43,1,Львів,"Шевченківський
                    ·",5,1327,0,0,0,0,1,0,"вул. Під Голоском, 16, Львів, Україна",49.8714547,24.009725250467348
