,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking
,вул. Віри Надії Любові,120000,77,2,Львів,"Шевченківський
                    ·",4,1527,1,0,0,0,0,0
,вул. Любінська,55000,44,2,Львів,"Залізничний
                    ·",1,1259,0,0,1,0,0,0
,"вул. Городоцька, 226А",83000,39,1,Львів,"Залізничний
                    ·",9,2128,0,0,1,0,0,0
,вул. Яцкова Михайла,128000,105,3,Львів,"Шевченківський
                    ·",5,1224,0,0,0,0,0,0
,просп. Червоної Калини,130000,163,4,Львів,"Сихівський
                    ·",3,796,0,0,1,0,0,0
,вул. Грушевського Михайла,400000,160,5,Львів,"Галицький
                    ·",3,2500,0,0,1,1,0,0
,"вул. Пасічна, 169Г",225000,108,4,Львів,"Сихівський
                    ·",10,2083,0,0,1,0,0,0
,"вул. Олени Степанівни, 10",87000,49,1,Львів,"Залізничний
                    ·",5,1776,0,0,1,0,0,0
,вул. Пилипа Орлика,57000,42,1,Львів,"Шевченківський
                    ·",4,1360,1,0,0,0,0,0
,"вул. Янева, 19",121500,81,3,Львів,"Франківський
                    ·",7,1500,0,0,0,0,0,0
,"вул. Замарстинівська, 76",132214,87,3,Львів,"Шевченківський
                    ·",4,1520,0,0,0,0,0,0
,"вул. Пасічна, 84",90505,39,1,Львів,"Личаківський
                    ·",8,2300,0,0,0,0,0,0
,"вул. Янева, 29",140000,71,2,Львів,"Франківський
                    ·",9,1972,0,0,1,0,0,0
,"вул. Топольна, 4",61430,44,1,Львів,"Шевченківський
                    ·",16,1384,0,0,0,0,0,0
,"вул. Соняшникова, 32",56074,53,1,Львів,"Сихівський
                    ·",8,1060,0,0,0,0,0,0
,"вул. Роксоляни, 1",45096,47,1,Львів,"Залізничний
                    ·",7,963,0,0,0,0,0,0
,"вул. Лемківська, 9, просп.",58016,39,1,Львів,"Шевченківський
                    ·",3,1480,0,0,0,0,0,0
,"вул. Пасічна, 166",118077,79,2,Львів,"Сихівський
                    ·",5,1488,0,0,0,0,0,0
,вул. Китайська,76695,42,1,Львів,"Личаківський
                    ·",7,1820,0,0,0,0,0,0
,"вул. Зелена, 111",57424,34,1,Львів,"Личаківський
                    ·",4,1684,0,0,0,0,0,0
,вул. Замарстинівська,70500,45,1,Львів,"Шевченківський
                    ·",10,1567,0,0,0,0,0,0
,"вул. Пасічна, 150",72171,53,2,Львів,Львів,7,1350,0,0,0,0,0,0
,"вул. Пимоненка Миколи, Пасечная",110574,74,2,Львів,Львів,1,1504,0,0,0,0,0,0
,вул. Орлика,106031,82,3,Львів,"Шевченківський
                    ·",5,1301,0,0,0,0,0,0
,"вул. Залізнична, 7",77010,60,1,Львів,"Залізничний
                    ·",8,1284,0,0,0,0,0,0
,"вул. Новознесенська, Волынская-",69802,55,1,Львів,"Личаківський
                    ·",1,1261,0,0,0,0,0,0
,"вул. Рудненська, 8",106182,92,3,Львів,"Залізничний
                    ·",12,1160,0,0,0,0,0,0
,"вул. Трильовського, 4а, 4б",59778,44,1,Львів,Львів,10,1350,0,0,0,0,0,0
,"вул. Замарстинівська, 170",69750,46,1,Львів,"Шевченківський
                    ·",12,1514,0,0,0,0,0,0
,,64394,47,1,Львів,"Личаківський
                    ·",6,1368,0,0,0,0,0,0
,вул. Лінкольна Авраама,97000,68,3,Львів,"Шевченківський
                    ·",9,1426,0,0,1,1,0,0
,"вул. Навроцького, 31",100000,99,3,Львів,"Сихівський
                    ·",2,1010,0,0,0,0,0,0
,"вул. Низинна, 52",37000,29,1,Львів,"Залізничний
                    ·",3,1276,0,0,1,0,0,0
,"вул. Гніздовського, 75",85000,81,2,Львів,"Залізничний
                    ·",6,1049,0,0,1,0,0,0
,"вул. Щирецька, 30",82000,69,2,Львів,"Південний
                    ·",4,1197,0,0,0,0,0,0
,"вул. Під Голоском, 16",57200,43,1,Львів,"Шевченківський
                    ·",5,1327,0,0,0,0,1,0
,"вул. Залізнична, 24",135000,93,3,Львів,"Залізничний
                    ·",1,1452,0,0,0,0,0,0
,вул. Дороша,86100,66,1,Львів,"Личаківський
                    ·",3,1305,0,0,1,0,0,0
,вул. Глинянський Тракт,63000,42,1,Львів,"Личаківський
                    ·",5,1500,0,1,1,0,0,0
,"просп. Червоної Калини, 56",194000,78,2,Львів,"Сихів
                    ·",21,2487,1,1,0,0,0,0
,"вул. Франка Івана, 111",69950,40,2,Львів,"Галицький
                    ·",3,1749,0,0,0,0,1,0
,"вул. Городоцька, 16",235000,167,5,Львів,"Галицький
                    ·",5,1407,0,0,0,0,1,0
,вул. Зелена,73800,44,1,Львів,"Личаківський
                    ·",3,1677,0,1,1,1,0,0
,"вул. Трускавецька, 2А",110000,57,1,Львів,"Франківський
                    ·",13,1930,0,1,0,0,0,0
,вул. Стрийська,188900,120,3,Львів,"Франківський
                    ·",10,1574,0,0,1,0,0,0
,вул. Пулюя Івана,110000,77,2,Львів,"Франківський
                    ·",11,1429,0,0,0,0,0,0
,вул. Хмельницького Богдана,84420,94,3,Львів,"Шевченківський
                    ·",2,900,0,0,0,0,0,1
,"вул. Коновальця Євгена, 21",285750,127,3,Львів,"Франківський
                    ·",3,2250,0,0,1,0,0,1
,"вул. Замарстинівська, 170М",116000,53,1,Львів,"Шевченківський
                    ·",2,2189,0,1,0,0,0,0
,вул. Трускавецька,58500,58,2,Львів,"Франківський
                    ·",2,1002,0,0,1,0,0,0
,вул. Бігова,60000,38,1,Львів,"Личаківський
                    ·",5,1592,1,1,0,0,0,0
,вул. Клепарівська,70000,31,1,Львів,"Шевченківський
                    ·",3,2258,0,0,1,0,0,0
,вул. Волинська,116780,108,3,Львів,"Шевченківський
                    ·",5,1081,0,0,1,0,0,0
,вул. Угорська,67000,45,1,Львів,"Сихівський
                    ·",2,1489,1,0,0,0,0,0
,"вул. Замарстинівська, 40",143500,70,2,Львів,"Шевченківський
                    ·",6,2050,0,0,0,0,0,0
,просп. Чорновола В'ячеслава,180000,72,2,Львів,"Шевченківський
                    ·",4,2500,0,0,0,0,0,0
,"вул. Залізнична, 7Ж",118823,68,2,Львів,"Залізничний
                    ·",3,1731,0,0,1,0,0,0
,вул. Мучна,135000,96,4,Львів,"Личаківський
                    ·",2,1406,0,1,0,0,0,0
,вул. Левицького,60000,52,2,Львів,"Галицький
                    ·",5,1152,0,0,0,0,0,0
,вул. Дорошенка Петра,135000,106,4,Львів,"Галицький
                    ·",2,1278,0,0,0,0,0,0
,вул. Гнатюка Академіка,95000,55,2,Львів,"Галицький
                    ·",2,1727,1,1,0,0,0,0
,просп. Свободи,87000,82,2,Львів,"Галицький
                    ·",4,1058,1,0,0,0,0,0
,"вул. Київська, 25",62000,45,1,Львів,"Франківський
                    ·",4,1378,0,0,1,0,1,0
,"вул. Словʼянська, 4",62000,47,2,Львів,"Франківський
                    ·",3,1328,0,0,1,0,0,0
,"вул. Буйка Професора, 27",57000,44,1,Львів,Львів,5,1307,0,0,0,0,0,0
,вул. Ковжуна Павла,125000,79,3,Львів,"Галицький
                    ·",1,1578,0,0,0,0,1,0
,вул. Сорохтея,62000,55,2,Львів,"Шевченківський
                    ·",1,1127,0,0,1,0,0,0
,вул. Наукова,65000,77,4,Львів,"Наукова
                    ·",5,844,0,0,1,0,0,0
,вул. Вулецька,55000,65,2,Львів,"Сихівський
                    ·",7,846,0,0,1,0,0,0
,вул. Червона,149000,82,2,Львів,"Франківський
                    ·",1,1817,0,0,0,0,0,0
,вул. Щирецька,51350,39,1,Львів,"Залізничний
                    ·",6,1317,0,0,0,0,0,0
,"вул. Бережанська, 56",72000,65,2,Львів,"Сихів
                    ·",14,1108,0,0,0,0,0,0
,"вул. Масарика, 7",217000,95,3,Львів,"Голоско
                    ·",4,2284,0,0,0,0,0,0
,"вул. Кульпарківська, 93",150000,97,2,Львів,"Франківський
                    ·",13,1546,0,0,0,0,0,0
,"вул. Рубчака Івана, 5",165000,200,5,Львів,"Франківський
                    ·",5,825,0,0,0,1,1,0
,"вул. Під Голоском, 8",93000,88,3,Львів,"Шевченківський
                    ·",2,1059,0,0,0,0,0,0
,вул. Кульпарківська,195000,105,3,Львів,"Франківський
                    ·",15,1857,0,0,0,0,0,0
,вул. Малоголосківська,203000,116,3,Львів,"Шевченківський
                    ·",9,1750,0,0,0,0,0,0
,"вул. Кубанська, 8",230000,146,3,Львів,"Галицький
                    ·",7,1575,0,0,0,0,1,0
,"вул. Карманського, 6",376500,121,3,Львів,"Сихівський
                    ·",2,3106,0,0,0,0,0,0
,вул. Освицька,65000,72,3,Львів,"Сихівський
                    ·",2,903,0,0,0,0,0,1
,"вул. Зерова Миколи, 6",42000,30,1,Львів,"Франківський
                    ·",1,1400,0,0,1,0,0,0
,вул. Пасічна,160000,85,2,Львів,"Личаківський
                    ·",1,1882,0,0,1,0,0,0
,вул. Тролейбусна,82500,75,2,Львів,"Франківський
                    ·",2,1100,0,0,0,0,0,0
,вул. Під Голоском,79900,67,2,Львів,"Шевченківський
                    ·",2,1193,0,0,0,0,0,0
,вул. Харківська,120000,72,3,Львів,"Личаківський
                    ·",2,1667,0,0,0,1,0,0
,"вул. Пасічна, 175",120000,80,3,Львів,"Сихівський
                    ·",3,1496,0,0,1,0,0,0
,вул. Сліпого Йосипа,116600,68,3,Львів,"Личаківський
                    ·",5,1727,0,0,0,1,1,0
,вул. Рогатинців Братів,105000,33,1,Львів,"Галицький
                    ·",4,3182,0,1,0,0,1,0
,"вул. Коперника, 26",125000,66,3,Львів,"Галицький
                    ·",3,1894,0,0,0,0,1,0
,"вул. Замарстинівська, 133",190470,91,2,Львів,"Шевченківський
                    ·",5,2100,0,0,0,0,0,0
,вул. Антонича,69999,48,1,Львів,"Санта Барбара
                    ·",3,1458,0,1,1,0,0,0
,"вул. Під Голоском, 4",83875,76,2,Львів,"Шевченківський
                    ·",9,1100,0,0,1,0,0,0
,"вул. Кульпарківська, 93/1",150000,97,2,Львів,"Кульпарків
                    ·",13,1546,0,0,0,0,0,1
,вул. Городоцька,82900,43,1,Львів,"Залізничний
                    ·",12,1928,0,0,1,0,0,0
,"вул. Рудненська, 8Ж",105000,60,2,Львів,"Залізничний
                    ·",8,1750,0,0,0,0,0,0
,вул. Пимоненка Миколи,119900,66,2,Львів,"Сихівський
                    ·",4,1817,0,0,0,0,0,0
,вул. Пекарська,163000,42,1,Львів,"Галицький
                    ·",3,3881,0,1,0,1,1,0
,"вул. Шевченка Тараса, 80",101000,40,1,Львів,"Шевченківський
                    ·",3,2525,0,0,0,0,1,0
,вул. Союзу Українок(Лобачевського),62000,33,2,Львів,"Шевченківський
                    ·",3,1879,0,0,0,0,0,0
,вул. Перемиська,250000,141,5,Львів,"Франківський
                    ·",2,1773,0,0,1,0,0,1
,"вул. Повстанська, 19",160000,98,3,Львів,"Франківський
                    ·",3,1629,0,0,1,0,0,0
,"вул. Самбірська, 5",123750,83,2,Львів,"Залізничний
                    ·",3,1500,0,0,1,0,0,0
,"вул. Стуса Василя, 18А",69900,70,2,Львів,"Сихівський
                    ·",4,999,0,0,1,0,0,0
,"вул. Яцкова Михайла, 20Б",102500,82,2,Львів,"Шевченківський
                    ·",7,1250,0,0,1,0,0,0
,вул. Вірменська,62000,29,1,Львів,"Галицький
                    ·",3,2138,0,0,1,0,1,0
,вул. Шевченка Тараса,95000,92,3,Львів,"Шевченківський
                    ·",9,1037,0,1,0,0,0,0
,"вул. Волинська, 14",67000,79,3,Львів,"Підзамче
                    ·",2,848,0,0,0,0,0,0
,Кільцева дор.,69386,103,3,Львів,Львів,3,673,0,0,0,0,0,0
,вул. Хлібна,125000,65,2,Львів,"Сихівський
                    ·",7,1923,0,1,0,0,0,0
,вул. Симиренків,145000,195,5,Львів,"Личаківський
                    ·",5,744,0,1,0,0,0,0
,"вул. Стрийська, 108",76000,54,1,Львів,"Франківський
                    ·",13,1403,0,0,1,0,0,0
,"вул. Зелена, 151",99700,68,2,Львів,"Сихівський
                    ·",9,1460,0,0,1,0,0,0
,вул. Героїв Майдану,235000,91,2,Львів,"Франківський
                    ·",5,2582,0,1,0,0,0,0
,вул. Грінченка,49000,63,3,Львів,"Шевченківський
                    ·",3,778,1,0,0,0,0,0
,"вул. Балабана Маєра, 12",290000,146,2,Львів,"Галицький
                    ·",7,1981,0,0,0,0,1,0
,"вул. Зелена, 269М",145000,90,3,Львів,"Сихівський
                    ·",6,1604,0,1,0,0,0,0
,"вул. Золота, 11",16500,24,1,Львів,"Шевченківський
                    ·",3,688,0,0,0,0,1,0
,"вул. Роксоляни, 155",49000,49,1,Львів,"Залізничний
                    ·",9,996,0,0,1,0,0,0
,"вул. Перфецького, 2А",65500,45,1,Львів,"Франківський
                    ·",5,1456,0,0,0,0,0,0
,"вул. Порохова, 20Б",87000,54,1,Львів,"Франківський
                    ·",14,1617,0,0,1,0,0,0
,вул. Нечуя-Левицького,60000,32,1,Львів,"Франківський
                    ·",3,1875,0,0,0,1,1,0
,"просп. Червоної Калини, 60",98789,48,3,Львів,"Сихівський
                    ·",17,2050,0,0,0,0,0,0
,вул. Менцинського,122000,72,3,Львів,"Галицький
                    ·",3,1694,0,1,0,0,1,0
,вул. Ромашкова,115000,80,2,Львів,"Сихівський
                    ·",3,1438,0,0,0,0,0,1
,"вул. Шафарика, 16",70000,50,2,Львів,"Личаківський
                    ·",7,1400,0,0,1,0,0,0
,"вул. Дунайська, 7",72000,57,2,Львів,"Сихівський
                    ·",4,1263,0,0,0,0,0,0
,"вул. Любінська, 94",44000,44,2,Львів,"Франківський
                    ·",5,1000,0,0,0,0,0,0
,вул. Новаківського Олекси,160000,89,2,Львів,"Галицький
                    ·",3,1806,0,0,1,0,1,0
,"вул. Бігова, 17",64660,77,3,Львів,"Личаківський
                    ·",12,841,0,0,0,0,0,0
,вул. Куліша Пантелеймона,122000,72,3,Львів,"Галицький
                    ·",2,1694,0,0,0,0,1,0
,"вул. Зелена, 204",86500,39,1,Львів,"Сихівський
                    ·",4,2218,0,0,1,0,0,0
,"вул. Очеретяна, 10",90000,59,2,Львів,"Шевченківський
                    ·",2,1552,0,0,1,0,0,0
,вул. Куликівська,147000,70,2,Львів,"Франківський
                    ·",2,2100,0,0,0,0,0,0
,"вул. Виговського Івана, 67",55000,51,2,Львів,"Залізничний
                    ·",13,1078,1,0,0,0,0,0
,"вул. Патона, 2",56000,46,2,Львів,"Залізничний
                    ·",4,1217,0,0,0,0,0,1
,вул. Шептицьких,74000,61,2,Львів,"Галицький
                    ·",3,1213,0,0,0,0,1,0
,"вул. Зелена, 107",54000,54,2,Львів,"Личаківський
                    ·",1,1000,0,0,1,0,0,0
,вул. Цегельського,75000,51,2,Львів,"Франківський
                    ·",1,1471,0,0,0,0,0,0
,вул. Коперника,190000,140,4,Львів,"Галицький
                    ·",4,1357,0,0,0,0,1,0
,вул. Стрімка,27500,18,1,Львів,"Підзамче
                    ·",2,1503,0,0,0,0,1,0
,"вул. Замарстинівська, 55Б",165000,68,3,Львів,"Замарстинів
                    ·",2,2426,0,0,0,0,0,0
,вул. Щепова,118500,61,2,Львів,"Шевченківський
                    ·",2,1943,0,0,1,1,0,0
,вул. Зубрівська,120000,98,3,Львів,"Сихівський
                    ·",3,1224,0,0,1,0,0,0
,"вул. Стрийська, 87В",65000,52,2,Львів,"Сихівський
                    ·",2,1250,0,0,0,1,0,0
